,model_name
418,Galaxy S20+ LTE SM-G985 Dual 8/128GB Black (SM-G985FZKD)
419,Galaxy S21 8/128GB Phantom Grey (SM-G991BZADSEK)
420,Galaxy S21 8/256GB Phantom Grey (SM-G991BZAGSEK)
421,Galaxy S21 Ultra 12/128GB Phantom Black (SM-G998BZKDSEK)
422,Galaxy S21 Ultra 12/256GB Phantom Black (SM-G998BZKGSEK)
423,Galaxy S21 Ultra 16/512GB Phantom Black (SM-G998BZKHSEK)
424,Galaxy S21+ 8/128GB Phantom Black (SM-G996BZKDSEK)
425,Galaxy S21+ 8/256GB Phantom Black (SM-G996BZKGSEK)
426,Galaxy S7 G930F 32GB (Black)
427,Galaxy S7 G930F 32GB (Gold)
428,Galaxy S8 64GB Blue
429,Galaxy S8 G950F Single Sim 64GB Black
430,Galaxy S8+ 64GB Black (SM-G955FZKD)
431,Galaxy S8+ SM-G955U 64GB Black
432,Galaxy S9 SM-G960 DS 128GB Black (SM-G960FZKG)
433,Galaxy S9 SM-G960 DS 128GB Black (SM-G960FZKG)
434,Galaxy S9 SM-G960 DS 128GB Black (SM-G960FZKG)
435,Galaxy S9 SM-G960 DS 128GB Blue
436,Galaxy S9 SM-G960 DS 128GB Blue
437,Galaxy S9 SM-G960 DS 128GB Grey (SM-G960FZAG)
438,Galaxy S9 SM-G960 DS 128GB Purple (SM-G960FZPG)
439,Galaxy S9 SM-G960 DS 64GB Black (SM-G960FZKD)
440,Galaxy S9 SM-G960U1 128GB Purple
441,Galaxy S9+ SM-G965 DS 128GB Black
442,Galaxy S9+ SM-G965 DS 128GB Blue
443,Galaxy S9+ SM-G965 DS 128GB Grey
444,Galaxy S9+ SM-G965 DS 128GB Purple
445,Galaxy S9+ SM-G965 DS 256GB Black (SM-G965FZKH)
446,Galaxy S9+ SM-G965 DS 64GB Black (SM-G965FZKD)
447,Galaxy Z Flip 5G SM-F707 8/256GB Mystic Bronze
448,Galaxy Z Flip SM-F700 8/256GB Mirror Purple (SM-F700FZPD)
449,Galaxy Z Fold2 12/256GB Mystic Black (SM-F916BZKQ)
450,H791 Nexus 5X 32GB (Mint)
451,H791 Nexus 5X 32GB (Mint)
452,H990 V20 Dual 64GB (Black)
453,H990 V20 Dual 64GB (Silver)
454,Hammer Energy Black
455,K10 Note 4/64GB Black
456,K10 Note 6/128GB Louise Lake
457,K12 6/64 Black
458,K12 6/64 Black
459,K13 4/64GB Black
460,K13 4/64GB Black
461,K13 4/64GB Pro Black
462,K13 Pro Leather Black
463,K5 Pro 4/64GB Black
464,K9 4/64 Black
465,KEYone
466,King Kong CS
467,King Kong CS
468,King Kong CS
469,Kingkong mini 3/32GB Red
470,Kingkong mini 3/32GB Yellow
471,Lumia 925 (Black)
472,Lumia 925 (White)
473,Lumia 925 (White)
474,M10 2/32GB Black
475,M10 2/32GB Red
476,M10 3/32GB Black
477,M10 3/32GB Blue
478,M5 Black
479,M6 Note 3/16GB Black
480,M6T 2/16GB Black
481,M6T 3/32GB Blue
482,M8 4/64GB Black
483,M8 4/64GB Blue
484,MIX 2 6/64GB Black
485,Mate 10 6/128GB Gold
486,Mate 10 6/256GB Porsche Design
487,Mate 20 DS 6/64GB Black
488,Mate RS Porsche Design 6/256GB Black
489,Mi 10 Lite 6/128GB Cosmic Grey
490,Mi 10 Lite 6/64GB Cosmic Grey
491,Mi 10 Lite 8/256GB Dream White
492,Mi 10 Pro 8/256GB Gray
493,Mi 10T 6/128GB Cosmic Black
494,Mi 10T 8/128GB Cosmic Black
495,Mi 10T Lite 6/128GB Pearl Gray
496,Mi 10T Lite 6/64GB Pearl Gray
497,Mi 10T Pro 8/128GB Cosmic Black
498,Mi 10T Pro 8/256GB Cosmic Black
499,Mi Max 2 4/64GB Black
500,Mi Note 10 Lite 6/64GB Purple
501,Mi5 3/32GB Gold
502,Mix 2 M2 4/64GB Black
503,Mix 2 M2 4/64GB Blue
504,Mobile GM8 Space Gray
505,Moto C Plus XT1723 16GB Gold (PA800126UA)
506,Moto E4 (XT1762) Metallic Iron Gray (PA750058UA)
507,Moto E5 Plus XT1924-1 DualSim Black (PABA0014UA)
508,Moto E5 XT1944 16GB black
509,Moto G5 2/16GB Gold (PA610071UA)
510,Moto G5s (XT1794) Lunar Gray (PA7W0024UA)
511,Moto G5s (XT1794) Lunar Gray (PA7W0024UA)
512,Moto G5s XT1799 4/64GB Black (PA930008CN)
513,Moto G5s XT1799 4/64GB Black (PA930008CN)
514,Moto G6 Play XT1922-5 Dual Sim 32GB Indigo Blue
515,Moto G6 Plus XT1926 Dual Sim 64GB Indigo Blue
516,Moto G7 Play XT1952-2 Dual Sim 2/32GB Deep Indigo
517,Moto G7 Power XT1955-4 4/64GB Ceramic Black
518,Moto G7 Power XT1955-4 4/64GB Ceramic Black
519,Moto G8 4/64GB Blue (PAHL0004RS)
520,Moto G8 4/64GB Blue (PAHL0004RS)
521,Moto G8 4/64GB White (PAHL0010RS)
522,Moto G8 4/64GB White (PAHL0010RS)
523,Moto G8 Plus XT2019-1 4/64GB Dual Sim Cosmic Blue (PAGE0015RS)
524,Moto G9 Power 4/128GB Gray (PALR0020RS)
525,Moto M Grey (PA5D0075UA)
526,Moto X (2nd. Gen) (Black) 16GB
527,Moto X Force (Black)
528,Moto X4 3/32GB Black (PA8X0004UA)
529,Moto Z 32GB Black (SM4389AE7U1)
530,Moto Z 32GB Black (SM4389AE7U1)
531,Moto Z 32GB Black (SM4389AE7U1)
532,Moto Z 32GB White/Gold (SM4389AD1U1)
533,Moto Z2 Force 6/64GB Black (PA900007UA)
534,Moto Z2 Force SS 4/64GB Fine Gold
535,Moto Z2 Play Fine Gold (SM4482AJ1K7)
536,Moto Z2 Play Lunar Grey (SM4482AC3K7)
537,Moto Z3 Play 4/64GB Deep Indgo
538,Moto Z4 4/128GB Flash Gray
539,Moto Z4 4/128GB Flash Gray
540,N1-550 Cruiser Dual Sim Black
541,N1-550 Cruiser Dual Sim Black
542,N10 3/32GB Purple
543,N20 4/64GB Black
544,N20 Pro 6/128GB Green
545,N30 4/128GB Dreamy Blue
546,N30 4/128GB Dreamy Blue
547,N920C Galaxy Note 5 32GB (Gold Platinum)
548,Nexus 6 32GB (Cloud White)
549,Nord 12/256GB Gray Onyx
550,Nord 8/128GB Gray Onyx
551,Nord N10 5G 6/128GB Midnight Ice
552,Nord N100 4/64GB Midnight Frost
553,Note 20 Pro 6/128GB Black
554,Note 20 Pro 8/128GB Black
555,Note 7P 3/32GB Twilight
556,Note 7P 3/32GB Twilight
557,Note 8P 2/16GB Black
558,Note 8P 2/16GB Midnight Green
559,Note 8P 2/16GB Midnight Green
560,Note 9 4/64GB Black
561,Nova 4 8/128GB Black
562,Nubia Z17 8/64GB Black
563,Nubia Z17 8/64GB Black
